UserID;Gender;Age;CAP;Work;CAP_puliti.Provincia
1446;M;55;35031;Avvocato;PD
1475;F;45;35031;Operaio;PD
1579;M;59;35031;Disoccupato;PD
1588;M;9;35031;Studente;PD
1601;M;40;35031;Avvocato;PD
1685;M;30;35031;Avvocato;PD
1704;M;63;35031;Data Analyst;PD
1790;M;45;35031;Disoccupato;PD
1826;M;57;35031;Infermiere;PD
1890;M;61;35031;Ricercatore;PD
1937;M;28;35031;Infermiere;PD
1967;M;26;35031;Data Engineer;PD
2067;M;10;35031;Studente;PD
2726;M;12;35031;Studente;PD
2731;M;28;35031;Data Engineer;PD
2883;M;14;35031;Studente;PD
3017;F;18;35031;Data Scientis;PD
3217;F;25;35031;Disoccupato;PD
3268;M;18;35031;Avvocato;PD
3327;M;64;35031;Avvocato;PD
3366;M;34;35031;Ingegnere;PD
3487;M;11;35031;Studente;PD
3534;M;53;35031;Programmatore;PD
3565;M;58;35031;Atleta;PD
3572;M;61;35031;Infermiere;PD
3636;M;39;35031;Disoccupato;PD
3661;M;36;35031;Avvocato;PD
3664;F;20;35031;Dirigente;PD
3670;M;28;35031;Ingegnere;PD
3785;F;31;35031;Impiegato;PD
3825;M;43;35031;Dirigente;PD
3845;M;10;35031;Studente;PD
3919;M;37;35031;Disoccupato;PD
4080;M;35;35031;Dirigente;PD
4144;M;65;35031;Data Analyst;PD
4182;M;26;35031;Atleta;PD
4363;M;37;35031;Ingegnere;PD
4390;M;14;35031;Studente;PD
4418;F;40;35031;Disoccupato;PD
4489;M;18;35031;Data Analyst;PD
4502;M;39;35031;Disoccupato;PD
4581;M;14;35031;Studente;PD
4648;M;27;35031;Data Analyst;PD
4810;M;13;35031;Studente;PD
4829;M;9;35031;Studente;PD
4932;M;57;35031;Data Engineer;PD
4956;M;14;35031;Studente;PD
4970;F;24;35031;Avvocato;PD
5005;M;54;35031;Attore;PD
5186;M;41;35031;Avvocato;PD
5212;M;63;35031;Operaio;PD
5224;M;56;35031;Dirigente;PD
5265;M;53;35031;Dirigente;PD
5293;M;49;35031;Avvocato;PD
5399;M;14;35031;Studente;PD
5444;F;12;35031;Studente;PD
5540;M;42;35031;Dirigente;PD
5679;M;18;35031;Operaio;PD
5939;F;12;35031;Studente;PD
2;M;13;72022;Studente;BR
101;F;36;72022;Direttore;BR
121;M;53;72022;Data Engineer;BR
139;F;62;72022;Impiegato;BR
141;M;42;72022;Architetto;BR
193;F;24;72022;Autista;BR
238;F;24;72022;Data Engineer;BR
251;M;62;72022;Programmatore;BR
315;F;15;72022;Studente;BR
406;M;55;72022;Impiegato;BR
486;M;58;72022;Disoccupato;BR
530;M;25;72022;Operaio;BR
574;M;54;72022;Musicista;BR
595;M;38;72022;Data Engineer;BR
632;M;30;72022;Programmatore;BR
682;M;30;72022;Data Analyst;BR
700;M;24;72022;Programmatore;BR
735;M;10;72022;Studente;BR
861;M;24;72022;Data Engineer;BR
867;M;9;72022;Studente;BR
933;M;28;72022;Dirigente;BR
942;F;34;72022;Ricercatore;BR
1001;M;43;72022;Data Analyst;BR
1085;M;37;72022;Data Engineer;BR
1192;M;26;72022;Attore;BR
1230;M;10;72022;Studente;BR
1339;M;62;72022;Atleta;BR
1623;M;22;72022;Autista;BR
1657;F;28;72022;Disoccupato;BR
1663;M;57;72022;Data Analyst;BR
1727;M;25;72022;Attore;BR
1729;M;57;72022;Data Engineer;BR
2001;M;12;72022;Studente;BR
2172;M;54;72022;Impiegato;BR
2187;M;22;72022;Attore;BR
2208;M;62;72022;Disoccupato;BR
2220;F;41;72022;Direttore;BR
2231;M;42;72022;Infermiere;BR
2255;F;40;72022;Ricercatore;BR
2401;M;11;72022;Studente;BR
2461;M;63;72022;Data Analyst;BR
2467;M;63;72022;Studente;BR
2612;F;16;72022;Studente;BR
2657;F;22;72022;Studente;BR
2740;M;29;72022;Programmatore;BR
2746;M;11;72022;Studente;BR
2838;M;38;72022;Dirigente;BR
2866;M;58;72022;Data Engineer;BR
2871;F;19;72022;Ingegnere;BR
2897;M;37;72022;Insegnante;BR
2948;M;64;72022;Ingegnere;BR
3247;M;57;72022;Autista;BR
3333;M;11;72022;Studente;BR
3348;M;46;72022;Attore;BR
3401;M;58;72022;Data Engineer;BR
3455;F;35;72022;Disoccupato;BR
3457;M;14;72022;Studente;BR
3526;M;52;72022;Operaio;BR
3614;M;25;72022;Disoccupato;BR
3936;F;19;72022;Avvocato;BR
3962;F;26;72022;Disoccupato;BR
3969;M;17;72022;Studente;BR
4014;M;36;72022;Disoccupato;BR
4020;M;27;72022;Ricercatore;BR
4045;M;35;72022;Architetto;BR
4075;M;58;72022;Attore;BR
4166;F;24;72022;Data Engineer;BR
4167;M;48;72022;Impiegato;BR
4331;M;40;72022;Ricercatore;BR
4361;M;48;72022;Autista;BR
4388;M;41;72022;Direttore;BR
4424;M;49;72022;Data Engineer;BR
4520;M;27;72022;Data Analyst;BR
4643;M;15;72022;Studente;BR
4684;F;46;72022;Disoccupato;BR
4743;M;22;72022;Architetto;BR
4755;F;63;72022;Data Engineer;BR
4756;M;64;72022;Attore;BR
4819;M;18;72022;Atleta;BR
4845;F;29;72022;Dirigente;BR
5030;M;15;72022;Studente;BR
5052;M;40;72022;Attore;BR
5171;M;51;72022;Programmatore;BR
5185;F;31;72022;Data Analyst;BR
5189;F;44;72022;Data Engineer;BR
5217;M;61;72022;Programmatore;BR
5256;M;38;72022;Attore;BR
5340;F;46;72022;Direttore;BR
5383;M;24;72022;Dirigente;BR
5421;M;36;72022;Programmatore;BR
5714;M;13;72022;Studente;BR
5785;F;49;72022;Data Engineer;BR
5868;M;50;72022;Ingegnere;BR
5889;M;64;72022;Impiegato;BR
5917;F;41;72022;Dirigente;BR
4;M;37;85024;Data Engineer;PZ
92;F;62;85024;Data Analyst;PZ
94;M;36;85024;Programmatore;PZ
190;M;55;85024;Programmatore;PZ
355;M;42;85024;Direttore;PZ
837;M;28;85024;Data Engineer;PZ
1147;M;63;85024;Impiegato;PZ
1257;F;17;85024;Studente;PZ
1393;M;25;85024;Data Analyst;PZ
1476;F;36;85024;Disoccupato;PZ
1593;M;11;85024;Studente;PZ
1677;M;61;85024;Ingegnere;PZ
1695;M;44;85024;Dirigente;PZ
1746;M;24;85024;Data Analyst;PZ
1851;M;58;85024;Musicista;PZ
1970;M;29;85024;Architetto;PZ
2058;F;62;85024;Dirigente;PZ
2179;F;45;85024;Disoccupato;PZ
2259;F;65;85024;Attore;PZ
2576;M;17;85024;Studente;PZ
2609;F;45;85024;Avvocato;PZ
2796;M;10;85024;Studente;PZ
2851;F;35;85024;Data Engineer;PZ
3025;F;40;85024;Disoccupato;PZ
3033;M;17;85024;Studente;PZ
3062;M;15;85024;Studente;PZ
3077;M;53;85024;Data Analyst;PZ
3101;M;50;85024;Autista;PZ
3108;M;29;85024;Ricercatore;PZ
3137;M;60;85024;Infermiere;PZ
3142;M;65;85024;Impiegato;PZ
3159;F;46;85024;Autista;PZ
3339;M;57;85024;Programmatore;PZ
3515;M;12;85024;Studente;PZ
3577;F;49;85024;Disoccupato;PZ
3903;M;39;85024;Disoccupato;PZ
4059;M;40;85024;Ingegnere;PZ
4349;M;9;85024;Studente;PZ
4422;M;39;85024;Insegnante;PZ
4430;F;42;85024;Disoccupato;PZ
4439;M;9;85024;Studente;PZ
4507;M;35;85024;Data Analyst;PZ
4599;F;40;85024;Disoccupato;PZ
4616;M;57;85024;Impiegato;PZ
4682;M;37;85024;Data Engineer;PZ
4826;M;27;85024;Avvocato;PZ
5031;F;26;85024;Data Analyst;PZ
5122;M;40;85024;Disoccupato;PZ
5129;M;48;85024;Programmatore;PZ
5351;F;52;85024;Dirigente;PZ
5585;M;32;85024;Data Analyst;PZ
5641;F;45;85024;Programmatore;PZ
5660;M;63;85024;Operaio;PZ
5677;M;40;85024;Dirigente;PZ
5704;F;64;85024;Data Analyst;PZ
5727;M;29;85024;Data Analyst;PZ
5755;F;21;85024;Operaio;PZ
5816;M;39;85024;Disoccupato;PZ
5907;M;46;85024;Operaio;PZ
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
5;M;15;01010;Studente;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
44;M;64;01010;Programmatore;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
133;F;24;01010;Disoccupato;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
195;M;16;01010;Studente;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
236;M;41;01010;Insegnante;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
271;M;55;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
274;M;22;01010;Data Analyst;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
343;F;55;01010;Direttore;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
350;M;21;01010;Impiegato;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
396;M;48;01010;Dirigente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
606;F;51;01010;Studente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
619;F;36;01010;Dirigente;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
630;F;32;01010;Ingegnere;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
755;F;24;01010;Disoccupato;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
965;M;41;01010;Data Engineer;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
980;M;10;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1060;M;13;01010;Studente;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1248;F;59;01010;Impiegato;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1271;F;61;01010;Ricercatore;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1363;M;28;01010;Data Engineer;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1377;M;36;01010;Attore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1413;M;48;01010;Direttore;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1553;F;44;01010;Autista;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1569;F;25;01010;Architetto;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1609;F;64;01010;Data Scientis;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1910;M;47;01010;Studente;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1939;F;52;01010;Operaio;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
1984;M;39;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2024;M;17;01010;Studente;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2050;F;51;01010;Direttore;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2074;M;52;01010;Data Analyst;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2295;M;21;01010;Infermiere;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2341;M;11;01010;Studente;VT
2343;F;53;01010;Dirigente;VT
2343;F;53;01010;Dirigente;VT
2343;F;53;01010;Dirigente;VT
2343;F;53;01010;Dirigente;VT
2343;F;53;01010;Dirigente;VT
2343;F;53;01010;Dirigente;VT
2343;F;53;01010;Dirigente;VT
2343;F;53;01010;Dirigente;VT
